,src,What is the content of this image?,Does this image show a Feynman diagram(s)?,Does this image show something other than a Feynman diagram(s)?
Phase_diagram_of_water_simplified.svg,no,,False,True
Venn_diagram_gr_la_ru.svg,no,,False,True
structure3,no,,False,True
ziggurat2,no,,False,True
VarPrincHamilton,no,,False,True
cxn_HH,no,,False,True
algorithm,no,,False,True
sunset-tad,no,,False,True
Tensor_train,no,,False,True
ud_udg_eta_pt_min_w02000GeV_ptl020GeV_pth200GeV,no,,False,True
Penrose_covariant_derivate.svg,no,,False,True
Jablonski_Diagram_of_Fluorescence_Only-en.svg,no,,False,True
Screenshot 2024-02-28 at 8.58.56 PM,no,,False,True
spectrum-1,no,,False,True
2560px-Matrix_product_state_obc_tikz.svg,no,,False,True
Valence8_ZD_integrability,no,,False,True
2560px-Edwards-Venn-five.svg,no,,False,True
M_loom,no,,False,True
AdSRindlerTensorNetwork,no,,False,True
strange_content_comparison,no,,False,True
TensorNetworkStateFromMetricLieAlgebra,no,,False,True
M_tauc_14,no,,False,True
Zamolod_STR,no,,False,True
DeltasPwaveCO,no,,False,True
relativity_penrose_diagram-001,no,,False,True
threedisks,no,,False,True
Sphere,no,,False,True
JablonskiSimple,no,,False,True
Penrose_ricci_identity.svg,no,,False,True
Third_order_pole_network,no,,False,True
defo,no,,False,True
relativity_penrose_diagram-008,no,,False,True
DeltaBend,no,,False,True
Polygon_of_forces,no,,False,True
penrose_schw,no,,False,True
14235,no,,False,True
WF2-mu,no,,False,True
Tadpole_Y,no,,False,True
WedgeQuartic1,no,,False,True
sPHENIX,no,,False,True
Gibbs_triangle-ternary_plot,no,,False,True
MassProof,no,,False,True
800px-Free_body_diagram2.svg,no,,False,True
Rank4HyperbolicDynkins124-176bw.svg,no,,False,True
skeleton_graph,no,,False,True
PVT_3D_diagram-en.svg,no,,False,True
Tensor_network_contraction_example,no,,False,True
PnJunction-LED-E.svg,no,,False,True
1920px-Phase-diag2.svg,no,,False,True
Circuit_diagram_–_pictorial_and_schematic,no,,False,True
deShyperboloid,no,,False,True
wa70,no,,False,True
main-window-1,no,,False,True
2560px-4_bit_counter.svg,no,,False,True
Penrose_det_T.svg,no,,False,True
vaidya,no,,False,True
TriangulationofPolygon,no,,False,True
WH,no,,False,True
PEPS,no,,False,True
df2-npscale-gen-iiaa,no,,False,True
Root_system_G2.svg,no,,False,True
mass_scan_plot_V3_grid,no,,False,True
su2_Fpi_F,no,,False,True
spiral,no,,False,True
Richard_Feynman_Nobel,no,,False,True
spinchain1,no,,False,True
1-7,no,,False,True
SwingleRenormalizationTensorNetwork,no,,False,True
UTFit,no,,False,True
across-horizon-scattering-Fig2-v8,no,,False,True
Finite_Dynkin_diagrams.svg,no,,False,True
SPS1a,no,,False,True
Affine_Dynkin_diagrams,no,,False,True
Penrose_g_ab_g^bc-d^c_a-g^cb_g_ba.svg,no,,False,True
Spinning_lattice,no,,False,True
spectrum-flowchart,no,,False,True
xpatches,no,,False,True
Vector_components,no,,False,True
Time-dilation-002-mod.svg,no,,False,True
split,no,,False,True
How-to-Read-Schematics-SIMPLE-CIRCUIT,no,,False,True
DESY-13-106_3,no,,False,True
System,no,,False,True
MatrixProductStateFromMetricLieAlgebra,no,,False,True
relativity_penrose_diagram-003,no,,False,True
ZT4,yes_single,,True,False
main_proc,yes_single,,True,False
tau2mug,yes_single,,True,False
ZprimeFeynDiag,yes_single,,True,False
0_0_od,yes_single,,True,False
dias,yes_single,,True,False
SqProd,yes_single,,True,False
CPT_vertex_correction2,yes_single,,True,False
spin_connection1,yes_single,,True,False
treeleveldiagram,yes_single,,True,False
try1,yes_single,,True,False
actafig39,yes_single,,True,False
Untitledx,yes_single,,True,False
M2bis,yes_single,,True,False
dg,yes_single,,True,False
TikzTest,yes_single,,True,False
usedmomenta,yes_single,,True,False
D7,yes_single,,True,False
lv_2,yes_single,,True,False
wbf_tautau_diag,yes_single,,True,False
WH_lvbb_new,yes_single,,True,False
AFF,yes_single,,True,False
annihilationWW,yes_single,,True,False
wilsonloop,yes_single,,True,False
20161016-Fig1,yes_single,,True,False
Smuons,yes_single,,True,False
TOPQ-2015-01-fig_01,yes_single,,True,False
twoLoopPlanGen,yes_single,,True,False
massless3pointf2,yes_single,,True,False
doc2,yes_single,,True,False
annih,yes_single,,True,False
WH_redraw,yes_single,,True,False
theoretical,yes_single,,True,False
singletop_t-ch_2to3,yes_single,,True,False
WheelwCT,yes_single,,True,False
zu3,yes_single,,True,False
2-loop-Z3-based,yes_single,,True,False
Tblv,yes_single,,True,False
zy0_decayed,yes_single,,True,False
tmass1,yes_single,,True,False
lrsm_feynman,yes_single,,True,False
30027f010_v2,yes_single,,True,False
dilep_diag,yes_single,,True,False
m2,yes_single,,True,False
d10-181f2a,yes_single,,True,False
Z4l,yes_single,,True,False
main-figure36,yes_single,,True,False
Feynman_monoPh,yes_single,,True,False
theta13_lfv_a,yes_single,,True,False
WWfusion,yes_single,,True,False
0n2bRH,yes_single,,True,False
wpm,yes_single,,True,False
sl-sketch,yes_single,,True,False
Feynman_diagrams-figure1,yes_single,,True,False
sjmueller_fig2,yes_single,,True,False
Worldline_n,yes_single,,True,False
active-sterile,yes_single,,True,False
1-loop,yes_single,,True,False
1-loop-Z2-based,yes_single,,True,False
M36vertices,yes_single,,True,False
diff_ampli,yes_single,,True,False
virtualdiagram-crop,yes_single,,True,False
sterile,yes_single,,True,False
Feynman_diagram_hyperon,yes_single,,True,False
D3,yes_single,,True,False
M0Posebno,yes_single,,True,False
076,yes_single,,True,False
ZpFeyn,yes_single,,True,False
A_topology,yes_single,,True,False
diagram_zll,yes_single,,True,False
dis,yes_single,,True,False
TGC,yes_single,,True,False
Stimemitgamma,yes_single,,True,False
VBFdiagram,yes_single,,True,False
M1M2l1l2,yes_single,,True,False
lpm,yes_single,,True,False
50_scattering_kinemat,yes_single,,True,False
Zprimeg,yes_single,,True,False
sneutrinoann,yes_single,,True,False
vacuum-cherenkov-radiation,yes_single,,True,False
Unparticle,yes_single,,True,False
Dark_Photon_Chit_t_phi_to_photons_semileptonic_decay_Update,yes_single,,True,False
susy,yes_single,,True,False
0-order,yes_single,,True,False
conversion-diagram,yes_single,,True,False
ZDMDM,yes_multiple,,True,False
top,yes_multiple,,True,False
top-prod-sm,yes_multiple,,True,False
yetoHmNtoFS,yes_multiple,,True,False
sp2andhiggstoaa_paper,yes_multiple,,True,False
D_virtual2,yes_multiple,,True,False
1,yes_multiple,,True,False
toppair1,yes_multiple,,True,False
current_diagrams,yes_multiple,,True,False
softfunction_diagrams,yes_multiple,,True,False
loops,yes_multiple,,True,False
vacuumbasis5looptop,yes_multiple,,True,False
WinoPion,yes_multiple,,True,False
majorana_topologias,yes_multiple,,True,False
63166Fig1,yes_multiple,,True,False
rad_pen,yes_multiple,,True,False
Diaghdiphotons,yes_multiple,,True,False
Uexpansion,yes_multiple,,True,False
Mainz-ISI-PLB-Fig1,yes_multiple,,True,False
QSC-2l,yes_multiple,,True,False
softwebs,yes_multiple,,True,False
Rad-corr-1,yes_multiple,,True,False
T4Q,yes_multiple,,True,False
single-top-production,yes_multiple,,True,False
triangle,yes_multiple,,True,False
ups_em_decay,yes_multiple,,True,False
diagrams_C78_de,yes_multiple,,True,False
WZGraph,yes_multiple,,True,False
ZZVdiagrams,yes_multiple,,True,False
eett,yes_multiple,,True,False
74a,yes_multiple,,True,False
virtual,yes_multiple,,True,False
dim6,yes_multiple,,True,False
universe3,yes_multiple,,True,False
w_flavourchange,yes_multiple,,True,False
VanderDonckt_Muriel.fig2,yes_multiple,,True,False
LSZ,yes_multiple,,True,False
specific_portals,yes_multiple,,True,False
MassModel2,yes_multiple,,True,False
y,yes_multiple,,True,False
wwaa,yes_multiple,,True,False
SM_feynman_diagram_NEW,yes_multiple,,True,False
YMphi3diagrams,yes_multiple,,True,False
XXtobb1loop_feyndiag,yes_multiple,,True,False
diagram-1,yes_multiple,,True,False
radiative,yes_multiple,,True,False
feynman_ilc,yes_multiple,,True,False
matching,yes_multiple,,True,False
loopfs,yes_multiple,,True,False
topology-2,yes_multiple,,True,False
DiagTmodel1,yes_multiple,,True,False
weak,yes_multiple,,True,False
Z_hadronic_decay_2,yes_multiple,,True,False
TreeDiagrams,yes_multiple,,True,False
ZprimeFeynRules_fermions,yes_multiple,,True,False
SketchDiagrams,yes_multiple,,True,False
SL,yes_multiple,,True,False
zorro_with_2loop_HTL,yes_multiple,,True,False
Typetwoseesaw,yes_multiple,,True,False
FeynmanGraphsETHZ,yes_multiple,,True,False
feynqg1,yes_multiple,,True,False
SingleTop_feynman,yes_multiple,,True,False
zasas,yes_multiple,,True,False
DiagramMuon,yes_multiple,,True,False
dias_c3,yes_multiple,,True,False
ZnnBG,yes_multiple,,True,False
Xg,yes_multiple,,True,False
uv_model,yes_multiple,,True,False
timeintneutral_diagram,yes_multiple,,True,False
Macro2micro_figs_v2,yes_multiple,,True,False
syk24ladders,yes_multiple,,True,False
wfr,yes_multiple,,True,False
radcorr,yes_multiple,,True,False
Contrac,yes_multiple,,True,False
zp70v3fig4,yes_multiple,,True,False
twodiagram_fig5,yes_multiple,,True,False
ustch,yes_multiple,,True,False
many-graphs,yes_multiple,,True,False
feynman2,yes_multiple,,True,False
Feynman_diagrams_DD,yes_multiple,,True,False
diagrams_real,yes_multiple,,True,False
zzdiagram,yes_multiple,,True,False
MesonBdecay,yes_multiple,,True,False
SingleCusto_graph,yes_multiple,,True,False
wwbg,yes_multiple,,True,False
twoloopdiagrams,yes_multiple,,True,False
feynmanfigure,yes_multiple,,True,False
strong1,yes_multiple,,True,False
Susc,yes_multiple,,True,False
d1,yes_multiple,,True,False
zzz-2loop,yes_multiple,,True,False
fig_1,yes_multiple,,True,False
1loopexpand,yes_multiple,,True,False
Wbbd,yes_multiple,,True,False
Feynmandiags,yes_multiple,,True,False
mesonmix,yes_multiple,,True,False
XXff,yes_multiple,,True,False
Diagram-3,yes_multiple,,True,False
Diagramme_Tensorstrom,yes_multiple,,True,False
LP-Fig3,yes_multiple,,True,False
zp70v3fig2,yes_multiple,,True,False
WMDMGDiagrams,yes_multiple,,True,False
sixVs,yes_multiple,,True,False
super-diags,yes_multiple,,True,False
SUSYEW,yes_multiple,,True,False
Y4630,yes_multiple,,True,False
ZZ1_and_2,yes_multiple,,True,False
WW-feynman,yes_multiple,,True,False
1loop_umdm,yes_multiple,,True,False
x1,yes_multiple,,True,False
1a,yes_multiple,,True,False
sloops,yes_multiple,,True,False
Zhdiagrams,yes_multiple,,True,False
1loop_d_feynman_diagram,yes_multiple,,True,False
LR-gauge-boxes,yes_multiple,,True,False
sub2ph2,yes_multiple,,True,False
singles,yes_multiple,,True,False
LQ_pair_production,yes_multiple,,True,False
top_pingos,yes_multiple,,True,False
Ward_qqgg_inf_c,yes_multiple,,True,False
stau2stau1h,yes_multiple,,True,False
w2j,yes_multiple,,True,False
zy1_decayed,yes_multiple,,True,False
