,src,What is the content of this image?,Does this image show a Feynman diagram(s)?
Phase_diagram_of_water_simplified.svg.png,no,,False
Venn_diagram_gr_la_ru.svg.png,no,,False
structure3.jpg,no,,False
ziggurat2.jpg,no,,False
VarPrincHamilton.jpg,no,,False
cxn_HH.jpg,no,,False
algorithm.jpg,no,,False
sunset-tad.jpg,no,,False
Tensor_train.png,no,,False
ud_udg_eta_pt_min_w02000GeV_ptl020GeV_pth200GeV.jpg,no,,False
Penrose_covariant_derivate.svg.png,no,,False
Jablonski_Diagram_of_Fluorescence_Only-en.svg.png,no,,False
Screenshot 2024-02-28 at 8.58.56 PM.png,no,,False
spectrum-1.jpg,no,,False
2560px-Matrix_product_state_obc_tikz.svg.png,no,,False
Valence8_ZD_integrability.jpg,no,,False
2560px-Edwards-Venn-five.svg.png,no,,False
M_loom.jpg,no,,False
AdSRindlerTensorNetwork.jpg,no,,False
strange_content_comparison.jpg,no,,False
TensorNetworkStateFromMetricLieAlgebra.jpg,no,,False
M_tauc_14.jpg,no,,False
Zamolod_STR.jpg,no,,False
DeltasPwaveCO.jpg,no,,False
relativity_penrose_diagram-001.png,no,,False
threedisks.jpg,no,,False
Sphere.jpg,no,,False
JablonskiSimple.png,no,,False
Penrose_ricci_identity.svg.png,no,,False
Third_order_pole_network.jpg,no,,False
defo.jpg,no,,False
relativity_penrose_diagram-008.png,no,,False
DeltaBend.jpg,no,,False
Polygon_of_forces.png,no,,False
penrose_schw.gif,no,,False
14235.jpg,no,,False
WF2-mu.jpg,no,,False
Tadpole_Y.jpg,no,,False
WedgeQuartic1.jpg,no,,False
sPHENIX.jpg,no,,False
Gibbs_triangle-ternary_plot.jpg,no,,False
MassProof.jpg,no,,False
800px-Free_body_diagram2.svg.png,no,,False
Rank4HyperbolicDynkins124-176bw.svg.png,no,,False
skeleton_graph.jpg,no,,False
PVT_3D_diagram-en.svg.png,no,,False
Tensor_network_contraction_example.png,no,,False
PnJunction-LED-E.svg.png,no,,False
1920px-Phase-diag2.svg.png,no,,False
Circuit_diagram_–_pictorial_and_schematic.png,no,,False
deShyperboloid.jpg,no,,False
wa70.jpg,no,,False
main-window-1.jpg,no,,False
2560px-4_bit_counter.svg.png,no,,False
Penrose_det_T.svg.png,no,,False
vaidya.jpg,no,,False
TriangulationofPolygon.jpg,no,,False
WH.jpg,no,,False
PEPS.png,no,,False
df2-npscale-gen-iiaa.jpg,no,,False
Root_system_G2.svg.png,no,,False
mass_scan_plot_V3_grid.jpg,no,,False
su2_Fpi_F.jpg,no,,False
spiral.jpg,no,,False
Richard_Feynman_Nobel.jpg,no,,False
spinchain1.jpg,no,,False
1-7.png,no,,False
SwingleRenormalizationTensorNetwork.jpg,no,,False
UTFit.jpg,no,,False
across-horizon-scattering-Fig2-v8.jpg,no,,False
Finite_Dynkin_diagrams.svg.png,no,,False
SPS1a.jpg,no,,False
Affine_Dynkin_diagrams.png,no,,False
Penrose_g_ab_g^bc-d^c_a-g^cb_g_ba.svg.png,no,,False
Spinning_lattice.jpg,no,,False
spectrum-flowchart.jpg,no,,False
xpatches.jpg,no,,False
Vector_components.JPG,no,,False
Time-dilation-002-mod.svg.png,no,,False
split.jpg,no,,False
How-to-Read-Schematics-SIMPLE-CIRCUIT.png,no,,False
DESY-13-106_3.jpg,no,,False
System.jpg,no,,False
MatrixProductStateFromMetricLieAlgebra.jpg,no,,False
relativity_penrose_diagram-003.png,no,,False
ZT4.jpg,yes_single,,True
main_proc.jpg,yes_single,,True
tau2mug.jpg,yes_single,,True
ZprimeFeynDiag.jpg,yes_single,,True
0_0_od.jpg,yes_single,,True
dias.jpg,yes_single,,True
SqProd.jpg,yes_single,,True
