,integral
diagram_1.png,A
diagram_10.png,B
diagram_100.png,C
diagram_101.png,B
diagram_102.png,B
diagram_103.png,A
diagram_104.png,D
diagram_105.png,C
diagram_106.png,B
diagram_107.png,D
diagram_108.png,A
diagram_109.png,A
diagram_11.png,B
diagram_110.png,B
diagram_111.png,A
diagram_112.png,A
diagram_113.png,D
diagram_114.png,A
diagram_115.png,A
diagram_116.png,C
diagram_117.png,A
diagram_118.png,A
diagram_119.png,B
diagram_12.png,A
diagram_120.png,A
diagram_121.png,D
diagram_122.png,C
diagram_123.png,C
diagram_124.png,A
diagram_125.png,A
diagram_126.png,D
diagram_127.png,D
diagram_128.png,A
diagram_129.png,A
diagram_13.png,A
diagram_130.png,A
diagram_131.png,D
diagram_132.png,B
diagram_133.png,A
diagram_134.png,D
diagram_135.png,D
diagram_136.png,D
diagram_137.png,A
diagram_138.png,D
diagram_139.png,B
diagram_14.png,C
diagram_140.png,B
diagram_141.png,D
diagram_142.png,B
diagram_143.png,D
diagram_144.png,C
diagram_145.png,B
diagram_146.png,B
diagram_147.png,B
diagram_148.png,C
diagram_149.png,A
diagram_15.png,A
diagram_150.png,B
diagram_151.png,D
diagram_152.png,D
diagram_153.png,B
diagram_154.png,C
diagram_155.png,C
diagram_156.png,A
diagram_157.png,A
diagram_158.png,D
diagram_159.png,D
diagram_16.png,A
diagram_160.png,C
diagram_161.png,B
diagram_162.png,C
diagram_163.png,D
diagram_164.png,B
diagram_165.png,C
diagram_166.png,C
diagram_167.png,D
diagram_168.png,B
diagram_169.png,D
diagram_170.png,A
diagram_171.png,B
diagram_172.png,D
diagram_173.png,C
diagram_174.png,A
diagram_175.png,C
diagram_176.png,C
diagram_177.png,C
diagram_178.png,A
diagram_179.png,C
diagram_18.png,B
diagram_180.png,C
diagram_181.png,B
diagram_182.png,B
diagram_183.png,A
diagram_184.png,B
diagram_185.png,B
diagram_186.png,D
diagram_187.png,C
diagram_188.png,A
diagram_189.png,D
diagram_19.png,A
diagram_190.png,B
diagram_191.png,C
diagram_192.png,C
diagram_193.png,C
diagram_194.png,C
diagram_195.png,D
diagram_196.png,C
diagram_197.png,A
diagram_198.png,A
diagram_199.png,D
diagram_2.png,B
diagram_20.png,C
diagram_200.png,B
diagram_201.png,D
diagram_202.png,A
diagram_203.png,B
diagram_204.png,A
diagram_205.png,B
diagram_206.png,C
diagram_207.png,B
diagram_208.png,D
diagram_209.png,A
diagram_21.png,A
diagram_210.png,A
diagram_211.png,C
diagram_212.png,C
diagram_213.png,D
diagram_214.png,C
diagram_215.png,A
diagram_216.png,A
diagram_217.png,D
diagram_218.png,C
diagram_219.png,B
diagram_22.png,A
diagram_220.png,B
diagram_221.png,B
diagram_222.png,B
diagram_223.png,C
diagram_224.png,B
diagram_225.png,C
diagram_226.png,A
diagram_227.png,B
diagram_228.png,B
diagram_229.png,B
diagram_23.png,B
diagram_230.png,D
diagram_231.png,D
diagram_232.png,D
diagram_233.png,B
diagram_234.png,A
diagram_235.png,A
diagram_236.png,A
diagram_237.png,A
diagram_238.png,A
diagram_239.png,D
diagram_24.png,D
diagram_240.png,D
diagram_241.png,D
