,loops,legs,edges,vertices,kinds
diagram_1.png,1,4,4,4,3
diagram_10.png,2,5,7,6,1
diagram_100.png,2,4,6,5,1
diagram_101.png,1,5,3,3,2
diagram_102.png,1,5,3,3,1
diagram_103.png,1,4,3,3,4
diagram_104.png,1,5,4,4,4
diagram_105.png,3,2,6,4,1
diagram_106.png,3,2,8,6,1
diagram_107.png,1,4,3,3,1
diagram_108.png,1,4,4,4,1
diagram_109.png,3,2,6,4,1
diagram_11.png,0,5,1,2,1
diagram_110.png,1,5,5,5,3
diagram_111.png,1,4,3,3,3
diagram_112.png,3,2,8,6,1
diagram_113.png,1,4,4,4,2
diagram_114.png,1,4,2,2,2
diagram_115.png,1,5,4,4,1
diagram_116.png,1,5,5,5,1
diagram_117.png,3,4,9,7,1
diagram_118.png,1,5,4,4,4
diagram_119.png,1,4,4,4,3
diagram_12.png,1,5,4,4,1
diagram_120.png,2,2,4,3,2
diagram_121.png,3,4,9,7,1
diagram_122.png,3,4,8,6,1
diagram_123.png,1,5,5,5,3
diagram_124.png,0,5,1,2,1
diagram_125.png,1,4,3,3,2
diagram_126.png,1,5,5,5,3
diagram_127.png,3,2,7,5,1
diagram_128.png,1,5,5,5,1
diagram_129.png,1,5,4,4,4
diagram_13.png,1,4,4,4,3
diagram_130.png,3,4,9,7,1
diagram_131.png,0,5,2,3,3
diagram_132.png,1,5,4,4,4
diagram_133.png,1,4,3,3,3
diagram_134.png,1,4,4,4,1
diagram_135.png,2,5,6,5,1
diagram_136.png,1,5,4,4,2
diagram_137.png,2,4,5,4,1
diagram_138.png,1,5,5,5,4
diagram_139.png,0,5,1,2,1
diagram_14.png,1,4,4,4,1
diagram_140.png,1,4,3,3,1
diagram_141.png,2,5,6,5,1
diagram_142.png,1,5,4,4,4
diagram_143.png,3,4,9,7,1
diagram_144.png,1,5,5,5,4
diagram_145.png,1,4,4,4,3
diagram_146.png,1,5,5,5,4
diagram_147.png,1,5,5,5,3
diagram_148.png,1,4,4,4,3
diagram_149.png,1,5,4,4,4
diagram_15.png,1,5,3,3,2
diagram_150.png,1,5,4,4,3
diagram_151.png,2,5,6,5,1
diagram_152.png,3,4,9,7,1
diagram_153.png,1,5,4,4,2
diagram_154.png,1,5,4,4,3
diagram_155.png,0,5,1,2,1
diagram_156.png,3,3,6,4,1
diagram_157.png,1,5,5,5,1
diagram_158.png,1,4,4,4,3
diagram_159.png,0,5,2,3,2
diagram_16.png,2,4,5,4,1
diagram_160.png,2,5,7,6,1
diagram_161.png,2,5,7,6,1
diagram_162.png,3,4,9,7,1
diagram_163.png,2,3,5,4,1
diagram_164.png,2,4,7,6,1
diagram_165.png,1,4,3,3,1
diagram_166.png,1,4,4,4,3
diagram_167.png,1,5,5,5,4
diagram_168.png,2,5,6,5,1
diagram_169.png,1,4,2,2,1
diagram_17.png,2,2,4,3,2
diagram_170.png,1,4,4,4,4
diagram_171.png,1,5,3,3,2
diagram_172.png,1,3,3,3,3
diagram_173.png,1,5,4,4,4
diagram_174.png,3,3,6,4,1
diagram_175.png,2,4,6,5,1
diagram_176.png,1,5,5,5,1
diagram_177.png,1,5,3,3,2
diagram_178.png,1,4,3,3,4
diagram_179.png,1,4,3,3,1
diagram_18.png,1,5,5,5,1
diagram_180.png,3,2,6,4,1
diagram_181.png,1,4,4,4,3
diagram_182.png,2,2,4,3,1
diagram_183.png,1,5,5,5,4
diagram_184.png,2,2,4,3,3
diagram_185.png,1,4,3,3,2
diagram_186.png,1,5,5,5,3
diagram_187.png,2,4,7,6,1
diagram_188.png,1,5,5,5,1
diagram_189.png,1,5,4,4,4
diagram_19.png,1,4,2,2,2
diagram_190.png,1,4,3,3,2
diagram_191.png,2,4,5,4,1
diagram_192.png,1,4,4,4,2
diagram_193.png,2,4,6,5,1
diagram_194.png,1,4,4,4,3
diagram_195.png,3,3,8,6,1
diagram_196.png,1,5,3,3,2
diagram_197.png,1,5,4,4,1
diagram_198.png,1,5,4,4,3
diagram_199.png,1,5,3,3,2
diagram_2.png,1,4,4,4,3
diagram_20.png,1,5,5,5,3
diagram_200.png,1,5,5,5,4
diagram_201.png,1,4,4,4,3
diagram_202.png,1,4,4,4,2
diagram_203.png,3,2,5,3,1
diagram_204.png,2,2,4,3,1
diagram_205.png,3,4,8,6,1
diagram_206.png,2,4,6,5,1
diagram_207.png,1,4,3,3,3
diagram_208.png,0,5,2,3,2
diagram_209.png,2,5,8,7,1
diagram_21.png,2,2,4,3,3
diagram_210.png,1,4,4,4,1
diagram_211.png,1,4,2,2,1
diagram_212.png,2,4,7,6,1
diagram_213.png,3,3,9,7,1
diagram_214.png,1,5,4,4,5
diagram_215.png,1,4,4,4,3
diagram_216.png,1,5,5,5,3
diagram_217.png,2,4,4,3,1
diagram_218.png,1,5,4,4,2
diagram_219.png,0,5,2,3,2
diagram_22.png,1,4,4,4,1
diagram_220.png,2,2,5,4,1
diagram_221.png,2,2,5,4,4
diagram_222.png,2,3,5,4,1
diagram_223.png,1,5,5,5,4
diagram_224.png,0,5,1,2,1
diagram_225.png,2,4,6,5,1
diagram_226.png,1,5,4,4,1
diagram_227.png,1,5,4,4,1
diagram_228.png,1,5,4,4,4
diagram_229.png,2,4,6,5,1
diagram_23.png,3,4,9,7,1
diagram_230.png,1,4,4,4,1
diagram_231.png,1,5,5,5,3
diagram_232.png,2,3,5,4,1
diagram_233.png,1,4,4,4,3
diagram_234.png,2,4,7,6,1
diagram_235.png,1,5,5,5,4
diagram_236.png,1,5,5,5,3
diagram_237.png,3,3,8,6,1
diagram_238.png,2,2,4,3,2
diagram_239.png,0,5,1,2,1
diagram_24.png,2,2,5,4,3
diagram_240.png,1,4,4,4,3
diagram_241.png,1,5,3,3,2
diagram_242.png,1,5,4,4,7
diagram_243.png,1,3,3,3,2
diagram_244.png,1,4,4,4,3
diagram_245.png,1,4,4,4,3
diagram_246.png,1,5,3,3,2
diagram_247.png,1,5,3,3,2
diagram_248.png,1,5,5,5,3
diagram_249.png,3,4,8,6,1
diagram_25.png,1,5,3,3,2
diagram_250.png,3,4,8,6,1
diagram_251.png,0,5,1,2,1
diagram_252.png,1,4,4,4,2
diagram_253.png,1,5,5,5,3
diagram_254.png,2,5,7,6,1
diagram_255.png,1,5,4,4,2
diagram_256.png,1,5,5,5,1
diagram_257.png,3,2,6,4,1
diagram_258.png,1,5,5,5,3
diagram_259.png,2,4,6,5,1
diagram_26.png,0,5,1,2,1
diagram_260.png,2,2,5,4,3
diagram_261.png,3,4,9,7,1
diagram_262.png,1,5,3,3,2
diagram_263.png,1,5,5,5,1
diagram_264.png,1,4,2,2,1
diagram_265.png,1,4,4,4,3
diagram_266.png,1,5,3,3,2
diagram_267.png,1,5,4,4,3
diagram_268.png,1,4,4,4,2
diagram_269.png,2,4,5,4,1
diagram_27.png,1,4,3,3,4
diagram_270.png,1,5,4,4,4
diagram_271.png,2,3,5,4,1
diagram_272.png,2,5,7,6,1
diagram_273.png,2,3,5,4,1
diagram_274.png,1,4,4,4,3
diagram_275.png,1,5,4,4,4
diagram_276.png,2,5,8,7,1
diagram_277.png,1,4,3,3,3
diagram_278.png,1,4,4,4,4
diagram_279.png,3,3,6,4,1
diagram_28.png,1,4,4,4,3
diagram_280.png,2,4,5,4,1
diagram_281.png,1,5,4,4,4
diagram_282.png,1,4,2,2,2
diagram_283.png,1,5,3,3,2
diagram_284.png,2,2,4,3,1
diagram_285.png,3,4,9,7,1
