,name,Does this image show a Feynman diagram?,How many external legs are in this Feynman diagram?,How many loops are in this Feynman diagram?,How many internal edges are in this Feynman diagram?,How many vertices are in this Feynman diagram?,How many different particle types are in this Feynman diagram?
0,A4,True,4,1,4,4,1
1,B4,True,4,3,4,2,1
2,parachute,True,4,2,4,3,1
3,acnode,True,4,2,5,4,1
4,envelope,True,4,3,6,4,1
5,nptrb,True,4,2,6,5,1
6,detri,True,4,3,5,3,1
7,debox,True,4,2,5,4,1
8,tdebox,True,4,3,6,4,1
9,ptrb,True,4,2,6,5,1
10,dbox,True,4,2,7,6,1
11,pentb,True,5,2,8,7,1
12,inner-dbox,True,4,2,7,6,2
13,outer-dbox,True,4,2,7,6,2
14,Hj,True,4,2,7,6,3
15,Bhabha-dbox,True,4,2,7,6,3
16,Bhabha2-dbox,True,4,2,7,6,3
17,Bhabha-npl-dbox,True,4,2,7,6,3
18,kite,True,4,2,5,4,6
19,par2,True,4,2,4,3,7
20,Hj-npl-pentb,True,5,2,8,7,3
21,dpent,True,6,2,9,8,1
22,npl-dpent,True,6,2,9,8,1
23,npl-dpent2,True,6,2,9,8,1
