,image,text,output
0,diagram_1.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
1,diagram_1.png,How many external legs are there in the diagram?,There are three external legs in the diagram.
2,diagram_1.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
3,diagram_1.png,How many interaction vertices are there in the diagram?,The diagram shows a network of 12 vertices and 18 edges.
4,diagram_1.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
5,diagram_10.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
6,diagram_10.png,How many external legs are there in the diagram?,There are four external legs in the diagram.
7,diagram_10.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
8,diagram_10.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
9,diagram_10.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
10,diagram_100.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
11,diagram_100.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
12,diagram_100.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
13,diagram_100.png,How many interaction vertices are there in the diagram?,"In the diagram, there are a total of 12 vertices and 14 edges."
14,diagram_100.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
15,diagram_101.png,How many independent loops are there in the diagram?,There are two independent loops in the diagram.
16,diagram_101.png,How many external legs are there in the diagram?,There are two external legs in the diagram.
17,diagram_101.png,How many internal edges are there in the diagram?,There are four internal edges in the diagram.
18,diagram_101.png,How many interaction vertices are there in the diagram?,There are four interaction vertices in the diagram.
19,diagram_101.png,How many different kinds of particles are there in the diagram?,There are two different kinds of particles in the diagram.
20,diagram_102.png,How many independent loops are there in the diagram?,There are three independent loops in the diagram.
21,diagram_102.png,How many external legs are there in the diagram?,"In the diagram, there are three external legs."
22,diagram_102.png,How many internal edges are there in the diagram?,"In the diagram, there are a total of 12 internal edges."
23,diagram_102.png,How many interaction vertices are there in the diagram?,"In the diagram, there are 12 vertices and 12 edges."
24,diagram_102.png,How many different kinds of particles are there in the diagram?,There are three different kinds of particles in the diagram.
